amfi_code,scheme_name,alpha,beta
120010,Bluestock Bluechip Alpha Fund Series-10,0.12160248031850077,0.9918946891862453
120039,Bluestock Contra Fund Strategy Fund Series-39,0.16913329938829766,0.6770431456049227
120002,Bluestock Bluechip Alpha Fund Series-2,0.1635564470775267,0.9649344682095417
120003,Bluestock Tax Saver ELSS Fund Series-3,0.03155867640219395,1.2967128057171904
120038,Bluestock Small Cap Edge Fund Series-38,0.10192658518887855,1.0158719920194985
120026,Bluestock Bluechip Alpha Fund Series-26,0.08528324521485416,0.9299565415334408
120024,Bluestock Large Cap Fund Series-24,0.046195847277966696,1.075613728459619
120022,Bluestock Small Cap Edge Fund Series-22,0.07886752093271987,0.9772588099864657
120012,Bluestock Dynamic Asset Allocator Fund Series-12,0.010937356955839804,0.9918131703997105
120028,Bluestock Dynamic Asset Allocator Fund Series-28,0.01747829284082158,0.743149894434648
120009,Bluestock Mid Cap Growth Fund Series-9,0.014339448213662101,1.08083193322599
120033,Bluestock Mid Cap Growth Fund Series-33,-0.0034505476915229374,1.1251551948988365
120001,Bluestock Mid Cap Growth Fund Series-1,0.008186099324452162,0.8215900619903634
120029,Bluestock Focused Value Fund Series-29,0.0001352199303981923,1.3248484822877027
120035,Bluestock Tax Saver ELSS Fund Series-35,0.030878185613360913,1.145168207491836
120032,Bluestock Large Cap Fund Series-32,0.03383037196049965,0.9561588733228834
120008,Bluestock Large Cap Fund Series-8,0.007795280031933017,0.773247384764258
120025,Bluestock Mid Cap Growth Fund Series-25,-0.025997224006977883,1.2320566554573558
120006,Bluestock Small Cap Edge Fund Series-6,-0.00694045408104264,0.9275087883537602
120040,Bluestock Large Cap Fund Series-40,0.01240154101887148,0.8149367860952366
120004,Bluestock Dynamic Asset Allocator Fund Series-4,-0.007201338893929592,0.7466949537499984
120005,Bluestock Focused Value Fund Series-5,0.00673894659871426,0.8629777057627097
120037,Bluestock Focused Value Fund Series-37,0.0017558860647302467,0.8284493061856248
120016,Bluestock Large Cap Fund Series-16,-0.027799165426127363,1.01403214023389
120027,Bluestock Tax Saver ELSS Fund Series-27,-0.012519636132575339,0.9778300973208809
120031,Bluestock Contra Fund Strategy Fund Series-31,-0.012559044730199405,1.124551496267044
120013,Bluestock Focused Value Fund Series-13,-0.05677788197385922,1.0552060147405653
120021,Bluestock Focused Value Fund Series-21,-0.02492446740330811,1.1269227759798488
120018,Bluestock Bluechip Alpha Fund Series-18,-0.034119350647480465,1.0106295847239113
120017,Bluestock Mid Cap Growth Fund Series-17,-0.04570182914002222,0.9856676304784192
120034,Bluestock Bluechip Alpha Fund Series-34,-0.05453999036231375,0.9100577126584443
120014,Bluestock Small Cap Edge Fund Series-14,-0.0379327307017294,0.8554315400914885
120023,Bluestock Contra Fund Strategy Fund Series-23,-0.06139049920322451,1.2945414207387833
120036,Bluestock Dynamic Asset Allocator Fund Series-36,-0.0676551536484742,1.127368168434746
120030,Bluestock Small Cap Edge Fund Series-30,-0.0396722869078915,0.8804712600926393
120007,Bluestock Contra Fund Strategy Fund Series-7,-0.049923717064480275,0.9158462986777637
120019,Bluestock Tax Saver ELSS Fund Series-19,-0.050305511177255936,1.3624694305814398
120020,Bluestock Dynamic Asset Allocator Fund Series-20,-0.09459111234656974,0.9481365202838428
120011,Bluestock Tax Saver ELSS Fund Series-11,-0.21510711966779641,0.8575104987252563
120015,Bluestock Contra Fund Strategy Fund Series-15,-0.17545878565869352,0.8774063099790419
