amfi_code,scheme_name,expense_ratio,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,worst_dd_start,worst_dd_end,tracking_error,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_max_dd,fund_score
120010,Bluestock Bluechip Alpha Fund Series-10,0.0082,0.10000121213460922,0.24047516713393136,,0.824666585227693,1.357348743878277,0.12160248031850077,0.9918946891862453,-0.20735823502150164,2022-04-04,2022-06-20,0.12402622976362311,3.0,1.0,3.0,7.5,6.0,93.8125
120039,Bluestock Contra Fund Strategy Fund Series-39,0.0141,0.0033918478923995465,0.2222354988430313,,0.7161736669653249,1.1816917043864446,0.16913329938829766,0.6770431456049227,-0.2654387096688723,2026-01-16,2026-06-04,0.2214703803409529,4.0,3.0,1.0,19.0,16.0,86.0
120002,Bluestock Bluechip Alpha Fund Series-2,0.0147,0.1196454939342253,0.25310754509556155,,0.8117862284398333,1.2949951286253663,0.1635564470775267,0.9649344682095417,-0.29598257213480084,2021-10-27,2022-06-20,0.1944030418613603,1.0,2.0,2.0,22.0,22.0,85.75
120003,Bluestock Tax Saver ELSS Fund Series-3,0.0055,0.08473277177453031,0.1278330013018496,,0.39971778700124017,0.6237582801896543,0.03155867640219395,1.2967128057171904,-0.22980432060412515,2022-12-13,2023-03-27,0.148566957662813,7.0,8.0,9.0,1.0,12.0,84.375
120038,Bluestock Small Cap Edge Fund Series-38,0.0191,0.18333665743815875,0.24399482756059165,,0.550805559736822,0.9310835587684864,0.10192658518887855,1.0158719920194985,-0.2765783473823388,2025-12-23,2026-06-08,0.20065193168909143,2.0,5.0,4.0,32.0,18.0,79.375
120026,Bluestock Bluechip Alpha Fund Series-26,0.0219,-0.03958285019191954,0.11190605235203366,,0.5822579679616815,0.9130407582306891,0.08528324521485416,0.9299565415334408,-0.1582923588096119,2025-06-20,2026-03-30,0.13872751741607864,10.0,4.0,5.0,40.0,3.0,74.25
120024,Bluestock Large Cap Fund Series-24,0.0073,-0.08684469502377434,0.09605363001505562,,0.3870712057943246,0.6000297458746873,0.046195847277966696,1.075613728459619,-0.3408467301945626,2025-11-27,2026-03-30,0.16198701029216023,17.0,9.0,7.0,4.0,27.0,72.375
120022,Bluestock Small Cap Edge Fund Series-22,0.0138,0.12870407657000071,0.08268892301116404,,0.48850409304831083,0.7567688123809001,0.07886752093271987,0.9772588099864657,-0.2698531192185398,2025-11-18,2026-03-23,0.17592614683650595,20.0,6.0,6.0,16.5,17.0,70.3125
120012,Bluestock Dynamic Asset Allocator Fund Series-12,0.011,0.006975130948532859,0.09894099714845894,,0.2526150962104722,0.36432010537457477,0.010937356955839804,0.9918131703997105,-0.2158017645030934,2022-12-01,2023-03-24,0.09099062000370955,15.0,13.0,14.0,13.0,7.0,69.5
120028,Bluestock Dynamic Asset Allocator Fund Series-28,0.0148,-0.04991061553866205,0.1783394870423587,,0.14345398649593058,0.2310656047974612,0.01747829284082158,0.743149894434648,-0.3106091475056406,2021-10-27,2023-03-20,0.13721867442706806,5.0,18.0,11.0,23.0,25.0,67.125
120009,Bluestock Mid Cap Growth Fund Series-9,0.0173,0.0676805594358072,0.10538311812961232,,0.268892277246202,0.4052941923850149,0.014339448213662101,1.08083193322599,-0.2351023551982705,2026-01-06,2026-06-11,0.13140733574091185,12.0,11.0,12.0,27.0,14.0,67.0
120033,Bluestock Mid Cap Growth Fund Series-33,0.0119,-0.08295002391895745,0.11336063903833349,,0.20959579571441372,0.3204034218361649,-0.0034505476915229374,1.1251551948988365,-0.3056563168015307,2024-09-26,2026-03-30,0.11258591981315455,9.0,14.0,20.0,15.0,24.0,65.375
120001,Bluestock Mid Cap Growth Fund Series-1,0.0138,-0.041126098550765655,0.08852571866196857,,0.15823744357654324,0.23982673367159707,0.008186099324452162,0.8215900619903634,-0.14289982515709565,2021-10-18,2022-03-07,0.08808621808120604,19.0,15.0,15.0,16.5,2.0,64.6875
120029,Bluestock Focused Value Fund Series-29,0.0175,-0.08107091959805912,0.10931833886960574,,0.2984676754441572,0.4223025039380362,0.0001352199303981923,1.3248484822877027,-0.2386328690728401,2021-10-18,2022-06-17,0.113033648478617,11.0,10.0,19.0,29.0,15.0,63.875
120035,Bluestock Tax Saver ELSS Fund Series-35,0.0212,-0.09100232900451555,0.07592573008193537,,0.41832597399088073,0.6268980283518277,0.030878185613360913,1.145168207491836,-0.20046193286165936,2024-08-01,2025-01-27,0.09300052313675311,21.0,7.0,10.0,38.0,5.0,61.875
120032,Bluestock Large Cap Fund Series-32,0.0187,-0.35101691719935424,0.09640899902188771,,0.26588621332199647,0.43045464154369717,0.03383037196049965,0.9561588733228834,-0.3769152330107248,2025-07-23,2026-06-25,0.18745560402960804,16.0,12.0,8.0,31.0,32.0,59.375
